date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:29	88145/88145	---M--	200	added ('OK')	application/javascript	etag:%2215851-5b5fea41432ea%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/jquery-3.4.1.min.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/jquery-3.4.1.min.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:29	21193/21193	---M--	200	added ('OK')	application/javascript	etag:%2252c9-5b5fea41436d2%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/popper.min.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/popper.min.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:31	60044/60044	---M--	200	added ('OK')	application/javascript	etag:%22ea8c-5b5fea41557e9%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/bootstrap/js/bootstrap.min.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/bootstrap/js/bootstrap.min.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:31	31966/31966	---M--	200	added ('OK')	application/javascript	etag:%227cde-5b5fea415f814%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/tiny-slider/min/tiny-slider.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/tiny-slider/min/tiny-slider.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:32	485/485	---M--	200	added ('OK')	application/javascript	etag:%221e5-5b5fea4142732%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/js/testimonials.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/js/testimonials.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:33	1161/1161	---M--	200	added ('OK')	application/javascript	etag:%22489-5b5fea4142732%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/js/demo/style-switcher.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/js/demo/style-switcher.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:34	1929/1929	---M--	200	added ('OK')	application/javascript	etag:%22789-5b5fea41432ea%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/js-cookie.min.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/js-cookie.min.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:35	861/861	---M--	200	added ('OK')	application/javascript	etag:%2235d-5b5fea414234a%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/js/dark-mode.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/js/dark-mode.js	(from https://themes.3rdwavemedia.com/devcard/bs4/)
11:22:37	120645/120645	---M--	200	added ('OK')	image/jpeg	etag:%221d745-5b5fea413d140%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-5.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-5.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/portfolio.html)
11:22:38	131057/131057	---M--	200	added ('OK')	image/jpeg	etag:%221fff1-5b5fea413d910%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-6.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-6.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/portfolio.html)
11:22:40	171111/171111	---M--	200	added ('OK')	image/jpeg	etag:%2229c67-5b5fea413ec99%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-7.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-7.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/portfolio.html)
11:22:40	103892/103892	---M--	200	added ('OK')	image/jpeg	etag:%22195d4-5b5fea413f469%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-8.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-8.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/portfolio.html)
